Epoch [3/10] | Batch #46 | Batch Accuracy 99.46%
Epoch [3/10] | Batch #47 | Batch Accuracy 99.47%
Epoch [3/10] | Batch #48 | Batch Accuracy 99.48%
Epoch [3/10] | Batch #49 | Batch Accuracy 99.49%
Epoch [3/10] | Batch #50 | Batch Accuracy 99.44%
Epoch [3/10] | Batch #51 | Batch Accuracy 99.45%
Epoch [3/10] | Batch #52 | Batch Accuracy 99.46%
Epoch [3/10] | Batch #53 | Batch Accuracy 99.47%
Epoch [3/10] | Batch #54 | Batch Accuracy 99.48%
Epoch [3/10] | Batch #55 | Batch Accuracy 99.49%
Epoch [3/10] | Batch #56 | Batch Accuracy 99.50%
Epoch [3/10] | Batch #57 | Batch Accuracy 99.51%
Epoch [3/10] | Batch #58 | Batch Accuracy 99.52%
Epoch [3/10] | Batch #59 | Batch Accuracy 99.52%
Epoch [3/10] | Batch #60 | Batch Accuracy 99.53%
Epoch [3/10] | Batch #61 | Batch Accuracy 99.54%
Epoch [3/10] | Batch #62 | Batch Accuracy 99.55%
Epoch [3/10] | Batch #63 | Batch Accuracy 99.55%
Epoch [3/10] | Batch #64 | Batch Accuracy 99.56%
Epoch [3/10] | Batch #65 | Batch Accuracy 99.57%
Epoch [3/10] | Batch #66 | Batch Accuracy 99.57%
Epoch [3/10] | Batch #67 | Batch Accuracy 99.58%
Epoch [3/10] | Batch #68 | Batch Accuracy 99.59%
Epoch [3/10] | Batch #69 | Batch Accuracy 99.59%
Epoch [3/10] Train Loss: 0.0193 | Train Acc: 99.59% | Val Acc: 99.04% | Val Loss: 0.05%
Epoch [4/10] | Batch #1 | Batch Accuracy 100.00%
Epoch [4/10] | Batch #2 | Batch Accuracy 100.00%
Epoch [4/10] | Batch #3 | Batch Accuracy 100.00%
Epoch [4/10] | Batch #4 | Batch Accuracy 100.00%
Epoch [4/10] | Batch #5 | Batch Accuracy 100.00%
Epoch [4/10] | Batch #6 | Batch Accuracy 100.00%
Epoch [4/10] | Batch #7 | Batch Accuracy 100.00%
Epoch [4/10] | Batch #8 | Batch Accuracy 100.00%
Epoch [4/10] | Batch #9 | Batch Accuracy 100.00%
Epoch [4/10] | Batch #10 | Batch Accuracy 100.00%
Epoch [4/10] | Batch #11 | Batch Accuracy 100.00%
Epoch [4/10] | Batch #12 | Batch Accuracy 100.00%
